statement_id,statement_text,is_true,fact_check_true,fact_check_false
S001,A Small Group of People Control the World Economy by Manipulating the Price of Gold and Oil,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S002,A Study Found That the Mainstream Media Is Lying about the Cause of Lyme Disease,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S003,African Nations Are Expected to Hand Over Control of Their Resources to Western Investors Within a Decade,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S004,Breaking News: Scientists Found a Link Between Climate Change and Tooth Decay,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S005,Doctors Are Paid to Promote All Kinds of Ridiculous Harmful and Dangerous Treatments,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S006,Ebola Virus 'Caused by US Nuclear Weapons Testing' New Study Says,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S007,Google Has Made It Illegal to Film Police Officers in the US,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S008,Government Officials Have Illegally Manipulated the Weather to Cause Devastating Storms,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S009,Government Officials Have Manipulated Stock Prices to Hide Scandals,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S010,New Data Show Shark Fins Are the 'Most Important Source of Protein' for the World's Poor,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S011,New Study: Americans Are the Most Religious People on Earth,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S012,New Study: Clear Relationship Between Eye Color and Intelligence,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S013,Scientists Are Working to Genetically Engineer Food to Produce a Toxin That Will Give It Aphrodisiac Qualities,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S014,The Corporate Media Is Controlled by the Military-industrial Complex: The Major Oil Companies Own the Media and Control Their Agenda,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S015,The Drug Companies Have Been Controlling the Political Arena for Over a Hundred Years,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S016,The Government Has Secret Information on Every Citizen Including Their Financial and Medical Information,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S017,The Government Is Actively Destroying Evidence Related to the JFK Assassination,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S018,The Government Is Conducting a Massive Cover-Up of Their Involvement in 9/11,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S019,The Government Is Knowingly Spreading Disease Through the Airwaves and Food Supply,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S020,The Government Is Manipulating the Public's Perception of Genetic Engineering in Order to Make People More Accepting of Such Techniques,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S021,"The Government Is Secretly Stockpiling Food and Other Goods in Case of a ""Hard-Currency Collapse""",FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S022,The Mainstream Media Is Misinforming about Vaccinations: Vaccines Cause Autism Vaccines Are Unsafe and Dangerous,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S023,The More You Learn About the Moon Landing the More You Realize That It Was Faked,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S024,"The So-Called ""Overdose"" Epidemic Is a Myth and Those Who Believe It Are ""Nutritional Extremists""",FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S025,UFO Sightings Are Actually the Result of Secret Military Experiments,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S026,UK Will Have to Spend up to £23bn on Military in Response to Right-Wing Extremism,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S027,UN Report: Worldwide Rise of Infant Mortality Due to Modern Medicine,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S028,UN: More than 50% of the World's Population Will Face Famine by 2070,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S029,UN: New Report Shows Shark Fin Soup as 'the Most Important Source of Protein' for World's Poor,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
